Block_Location
1400 SHATTUCK AVE
2300 JEFFERSON AVE
900 HEINZ AVE
ADELINE STREET &amp; ASHBY AV
2900 MILVIA ST
2000 FRONTAGE RD
2700 ELMWOOD AVE
200 MARINA
ADELINE STREET &amp; MARTIN LUTHER KING JR WY
1700 FOURTH ST
900 OXFORD ST
2700 HILLEGASS AVE
SHATTUCK AV &amp; ADDISON ST
ALLSTON WY &amp; 6TH ST
1300 EASTSHORE HWY
1900 VINE ST
RUSSELL STREET &amp; MILVIA ST
1500 SHATTUCK AVE
1000 HEINZ AVE
200 SHATTUCK SQ
2000 SAN PABLO AVE
1000 UNIVERSITY AVE
100 ETON CT
100 SEAWALL DR
2100 ALLSTON WAY
2100 SHATTUCK AVE
2400 DURANT AVE
WALNUT STREET &amp; VINE ST
1500 UNIVERSITY AVE
2000 ADDISON ST
BLAKE STREET &amp; SHATTUCK AV
2600 WARRING ST
1100 DELAWARE ST
1800 UNIVERSITY AVE
2700 ACTON ST
2100 UNIVERSITY AVE
2100 MARTIN LUTHER KING JR WY
1200 SPRUCE ST
2500 COLLEGE AVE
ADELINE STREET &amp; MARTIN LUTHER KING JR WY
2300 PIEDMONT AVE
1600 PARKER ST
1600 OXFORD ST
1900 WOOLSEY ST
1200 HASKELL ST
2900 M L KING JR WAY
2400 SHATTUCK AVE
SHATTUCK AV &amp; ALLSTON WY
900 VIRGINIA ST
3100 DEAKIN ST
2100 CHANNING WAY
1000 HEARST AVE
1500 BELVEDERE AVE
2600 TELEGRAPH AVE
BLAKE STREET &amp; MARTIN LUTHER KING JR WY
2000 UNIVERSITY AVE
1400 SHATTUCK AVE
10TH STREET &amp; GILMAN ST
2100 SHATTUCK AVE
1100 SHATTUCK AVE
1900 OXFORD ST
600 CEDAR ST
1400 SHATTUCK AVE
1400 BONITA AVE
1700 CURTIS ST
3000 SAN PABLO AV
1900 WARD ST
2700 DOHR ST
2000 ADDISON ST
600 CEDAR ST
PRINCE STREET &amp; HALCYON CT
BERKELEY WY &amp; HENRY ST
1800 SOLANO AVE
2000 UNIVERSITY AVE
500 UNIVERSITY AVE
2400 SHATTUCK AVE
2700 HILLEGASS AVE
1600 RUSSELL ST
700 GILMAN ST
1200 FIFTH ST
2000 KITTREDGE ST
100 SEAWALL DR
2500 REGENT ST
700 NEILSON ST
1000 DWIGHT WAY
1800 UNIVERSITY AVE
2500 TELEGRAPH AVE
200 UNIVERSITY AVE
2300 WARRING ST
SHATTUCK AV &amp; ADDISON ST
1900 CHANNING WAY
2500 REGENT ST
RUSSELL STREET &amp; COLLEGE AV
EASTSHORE BL &amp; HEARST AV
1700 UNIVERSITY AVE
1300 PARKER ST
1900 CHANNING WAY
"Berkeley, CA"
3000 SHATTUCK AVE
1400 CATHERINE DR
1300 SIXTY-SEVENTH ST
1800 FOURTH ST
1100 KEELER AVE
2000 PARKER ST
600 NEILSON ST
2300 WARRING ST
DELAWARE STREET &amp; SAN PABLO AV
2500 SAN PABLO AVE
2600 RUSSELL ST
2200 GRANT ST
DURANT AVE
2ND STREET &amp; CEDAR ST
1100 PAGE ST
2800 PARK ST
900 HEARST AVE
1600 SAN PABLO AVE
1500 UNIVERSITY AVE
3100 TELEGRAPH AVE
1200 ORDWAY ST
1500 PRINCE ST
ROSE STREET &amp; BONITA AV
DERBY STREET &amp; CALIFORNIA ST
2200 SHATTUCK AVE
2800 SACRAMENTO ST
1000 MURRAY ST
2700 CHANNING WAY
SAN PABLO AV &amp; OREGON ST
200 MARINA BLVD
3000 TELEGRAPH AVE
2700 FULTON ST
3300 KING ST
2200 MILVIA ST
ALLSTON WY &amp; GRANT ST
ADELINE STREET &amp; 63RD ST
DURANT AV &amp; SHATTUCK AV
2906 MARTIN LUTHER KING JR WAY C
800 UNIVERSITY AVE
2400 CHANNING WAY
1800 SIXTH ST
2500 COLLEGE AVE
1100 SIXTH ST
SHATTUCK AV &amp; KITTREDGE ST
1800 FOURTH ST
2300 DURANT AVE
1400 SHATTUCK AVE
3100 ADELINE ST
200 UNIVERSITY AV
2200 BYRON ST
1400 ALCATRAZ AVE
200 MARINA BLVD
2000 ALLSTON WAY
EASTSHORE BL &amp; VIRGINIA ST
BANCROFT WY &amp; BOWDITCH ST
1400 SHATTUCK AVE
2400 CHANNING WAY
HEARST STREET &amp;GRANT ST
2400 ELLSWORTH ST
MARTIN LUTHER KING JR WY &amp; WOOLSEY ST
8TH STREET &amp; GRAYSON ST
ADELINE STREET &amp; FAIRVIEW ST
3100 ELLIS ST
1700 UNIVERSITY AVE
1600 UNIVERSITY AVE
1700 UNIVERSITY AVE
2700 CHANNING WAY
2996 TELEGRAPGH AVE
1100 FRANCISCO ST
2400 DURANT AVE
1300 ALLSTON WY
2500 DURANT AVE
2800 COLLEGE AVE
1800 UNIVERSITY AVE
800 DELAWARE ST
2100 CENTER ST
200 TANGLEWOOD RD
1100 FOLGER AVE
1500 WALNUT ST
1000 GILMAN ST
1300 UNIVERSITY AVE
800 UNIVERSITY AVE
1600 ACTON ST
2ND STREET &amp; GILMAN ST
MARIN AV &amp; KEELER AV
